,date,long_change,long
4210,2020-07-14,10482.579437391832,13467092.9920793
4211,2020-07-15,8390.005042241886,13466726.855370792
4212,2020-07-16,6691.626745896414,13483562.90299459
4213,2020-07-17,4888.731089964509,13481228.55190609
4214,2020-07-18,3634.2119131777436,13485071.58577299
4215,2020-07-19,2562.775886133313,13486488.595484098
4216,2020-07-20,1736.2560436408967,13498025.908816101
4217,2020-07-21,1692.156032493338,13493162.140406799
4218,2020-07-22,1688.8825905323029,13483125.130973969
4219,2020-07-23,1847.4364192876965,13481759.66754918
4220,2020-07-24,2935.513803306967,13477480.17816752
4221,2020-07-25,4064.156511152163,13478912.7998676
4222,2020-07-26,5547.894252792001,13484610.466625808
4223,2020-07-27,6869.351612053812,13480565.60195626
4224,2020-07-28,7525.141240270808,13449110.788009252
4225,2020-07-29,8600.83772576414,13458084.81050354
4226,2020-07-30,9300.844723397866,13445376.179311398
4227,2020-07-31,9360.620242638513,13444440.027255239
4228,2020-08-01,9479.872501371428,13447286.4266378
4229,2020-08-02,9458.169385690242,13442280.48769773
4230,2020-08-03,8936.11286809668,13437870.685565699
4231,2020-08-04,8596.248807871714,13478936.08432805
4232,2020-08-05,8953.679317314178,13528516.27739399
4233,2020-08-06,11296.147914009169,13625528.708426
4234,2020-08-07,13666.221324181184,13608619.57749806
4235,2020-08-08,16226.163679756224,13613878.69744876
4236,2020-08-09,18987.328180011362,13637617.30481414
4237,2020-08-10,21666.031969387084,13640136.5134958
4238,2020-08-11,23834.291751062497,13621132.966465881
4239,2020-08-12,25711.004409892485,13609246.5836932
4240,2020-08-13,27693.029458861798,13607112.215955641
4241,2020-08-14,29499.00966349244,13595404.724477591
4242,2020-08-15,30800.611653307453,13592736.98853237
4243,2020-08-16,32375.21577681601,13595077.07551565
4244,2020-08-17,33478.25850316882,13576011.43543845
4245,2020-08-18,34660.99872388318,13579712.718754372
4246,2020-08-19,35535.30651579425,13581202.93048037
4247,2020-08-20,36431.249615518376,13570970.208095443
4248,2020-08-21,37679.86813917756,13573733.068215441
4249,2020-08-22,39005.41807246208,13578786.803871
4250,2020-08-23,40202.66639808938,13582294.527758408
4251,2020-08-24,41435.44678149931,13585561.5151937
4252,2020-08-25,42437.60894400999,13583516.621328939
4253,2020-08-26,43489.3512527775,13576259.379818927
4254,2020-08-27,45562.63648578338,13574456.8378722
4255,2020-08-28,46965.745017543435,13558284.94889411
4256,2020-08-29,48930.57596142404,13561854.505530579
4257,2020-08-30,51273.58080258034,13584088.03168604
4258,2020-08-31,53378.45898954384,13575626.92417405
4259,2020-09-01,55637.81394261308,13573454.393183598
4260,2020-09-02,58115.60561146587,13568962.84179124
4261,2020-09-03,59374.721633391455,13563899.58322102
4262,2020-09-04,58788.86862137169,13547774.789513111
4263,2020-09-05,54963.19760822691,13548002.75897084
4264,2020-09-06,51458.90487426892,13551237.61841901
4265,2020-09-07,47848.29992578179,13557683.96541433
4266,2020-09-08,43940.994425944984,13584059.806642089
4267,2020-09-09,40797.208828186616,13632061.64216265
4268,2020-09-10,38682.29044888541,13649624.480349798
4269,2020-09-11,37023.44936058484,13647829.116889851
4270,2020-09-12,35738.91915749386,13670059.62764645
4271,2020-09-13,35546.36237102002,13712529.186395701
4272,2020-09-14,36037.95596097596,13731406.689467581
4273,2020-09-15,36714.58978400193,13749523.6285068
4274,2020-09-16,38279.3385378439,13760836.2103345
4275,2020-09-17,39709.58410300687,13758751.57593451
4276,2020-09-18,41068.45821598172,13745912.39892324
4277,2020-09-19,42831.56019865535,13754564.394744558
4278,2020-09-20,44634.74444540031,13772532.060261529
4279,2020-09-21,46301.179855357856,13775800.064790057
4280,2020-09-22,47479.129469212145,13757785.8541804
4281,2020-09-23,48731.16834673658,13767332.563171592
4282,2020-09-24,50043.27601562999,13761149.236165538
4283,2020-09-25,51353.91586012207,13750591.5483514
4284,2020-09-26,52196.32959562354,13750347.711865142
4285,2020-09-27,53705.81909524463,13749054.45726215
4286,2020-09-28,54972.998733356595,13754363.6100364
4287,2020-09-29,55099.99585220963,13731355.86324769
4288,2020-09-30,55314.19729389064,13716819.5082113
4289,2020-10-01,55496.282356683165,13715553.40243683
4290,2020-10-02,55640.676449975,13708718.64361439
4291,2020-10-03,56733.15099903382,13714411.55505732
4292,2020-10-04,59447.003657419235,13729864.46113545
4293,2020-10-05,63829.452618498355,13733423.74718056
4294,2020-10-06,68046.0514453128,13746851.588948697
4295,2020-10-07,72084.55102021992,13743799.2078745
4296,2020-10-08,75541.83259889483,13737939.20319036
4297,2020-10-09,77307.035163844,13729898.924726412
4298,2020-10-10,78284.65952921845,13736773.45615609
4299,2020-10-11,79212.87156605907,13742104.37229693
4300,2020-10-12,79307.9974978622,13738714.59524582
4301,2020-10-13,77888.5862925034,13744488.9759921
4302,2020-10-14,75649.8248482272,13735750.703746341
4303,2020-10-15,72700.38834651187,13727003.991394961
4304,2020-10-16,69062.65615626611,13727397.05381595
4305,2020-10-17,65626.29433481395,13731608.723827392
4306,2020-10-18,62717.09935737401,13736070.168719849
4307,2020-10-19,58661.88747540116,13694845.8684755
4308,2020-10-20,54154.132618447766,13700865.76089024
4309,2020-10-21,49654.63124922104,13702843.24355535
4310,2020-10-22,44815.8585687913,13642950.81977684
4311,2020-10-23,37916.12613744661,13535119.66526868
4312,2020-10-24,31260.57839697227,13539448.98657369
4313,2020-10-25,24850.959229720756,13540346.566848729
4314,2020-10-26,19604.30209171772,13611439.157577772
4315,2020-10-27,14366.799536250532,13625573.81230221
4316,2020-10-28,9156.522513767704,13634256.09319316
4317,2020-10-29,4893.109089331701,13622818.889343139
4318,2020-10-30,887.5723657235503,13617679.88883201
4319,2020-10-31,-3099.8675132729113,13618406.01895044
4320,2020-11-01,-7013.061987286434,13613682.776996471
4321,2020-11-02,-11253.32935462892,13610507.48485307
4322,2020-11-03,-18253.822385428473,13491924.550909942
4323,2020-11-04,-25129.97520520538,13506275.566203794
4324,2020-11-05,-33378.857935158536,13447532.595681233
4325,2020-11-06,-41447.33747797273,13445805.67776581
4326,2020-11-07,-48727.54805403948,13455005.965174591
4327,2020-11-08,-54755.5653106384,13466055.171894211
4328,2020-11-09,-60646.390970725566,13470472.892357282
4329,2020-11-10,-66719.30667698011,13472004.685328493
4330,2020-11-11,-72317.03993954696,13471505.56709126
4331,2020-11-12,-77652.24497037753,13456336.463738684
4332,2020-11-13,-82618.80161356553,13442101.319433913
4333,2020-11-14,-86936.36651404761,13445430.460254261
4334,2020-11-15,-91072.51795492508,13445788.810844682
4335,2020-11-16,-95470.96219520643,13440559.21730366
4336,2020-11-17,-100556.29453969933,13421107.997846764
4337,2020-11-18,-104566.38232466578,13394522.075108292
4338,2020-11-19,-108695.19980463013,13381470.41272124
4339,2020-11-20,-113773.00844234973,13325217.90405757
4340,2020-11-21,-117579.68269245699,13299715.330366882
4341,2020-11-22,-117697.89500391297,13295814.028678263
4342,2020-11-23,-118150.3618180938,13290600.728131004
4343,2020-11-24,-119206.24734608084,13266748.453666883
4344,2020-11-25,-122774.20945111476,13258452.876988504
4345,2020-11-26,-127555.46780546941,13215217.666080762
4346,2020-11-27,-132821.86289187148,13198164.871165894
4347,2020-11-28,-137470.5014900677,13235363.59954647
4348,2020-11-29,-141991.04834433086,13247307.45819693
4349,2020-11-30,-146832.64304944687,13230762.953157173
4350,2020-12-01,-151841.18712738156,13218134.265702482
4351,2020-12-02,-156775.39902642928,13210550.700705942
4352,2020-12-03,-157953.82236900367,13183279.24012987
4353,2020-12-04,-159798.85562625527,13168425.389792033
4354,2020-12-05,-159365.31275089085,13174226.174935693
4355,2020-12-06,-158891.3740499653,13176248.469712641
4356,2020-12-07,-159000.01227756962,13165554.433502562
4357,2020-12-08,-159823.84705846198,13152781.33220859
4358,2020-12-09,-160853.91727463342,13142368.115588123
4359,2020-12-10,-162503.16319332644,13102950.24323856
4360,2020-12-11,-164705.67721358873,13072145.697720984
4361,2020-12-12,-166585.17164643854,13055414.285513802
4362,2020-12-13,-169309.53835953958,12984989.93233568
4363,2020-12-14,-172422.49841198698,12977079.32596674
4364,2020-12-15,-174657.89978207834,13030056.485667944
4365,2020-12-16,-176425.2462415006,13043468.923214694
4366,2020-12-17,-178154.07354401425,13002416.188822862
4367,2020-12-18,-180214.6974790413,12970560.845639441
4368,2020-12-19,-182004.2150875535,12954704.008041643
4369,2020-12-20,-182359.19816621393,12926293.579840135
4370,2020-12-21,-183116.66735107824,12911031.689864982
4371,2020-12-22,-186732.59662343003,12839552.635746581
4372,2020-12-23,-191005.31938365288,12785389.104075272
4373,2020-12-24,-194911.62515701167,12758771.99408332
4374,2020-12-25,-197385.71717962064,12757021.07504267
4375,2020-12-26,-198266.9456647113,12751987.810753953
4376,2020-12-27,-198843.182016965,12727499.468003143
4377,2020-12-28,-203312.3137834575,12579760.403760472
4378,2020-12-29,-208613.67787319422,12558853.182177424
4379,2020-12-30,-213463.95429370366,12552103.302133424
4380,2020-12-31,-218322.53711166605,12531070.785330636
4381,2021-01-01,-223340.11777086183,12509539.077007074
4382,2021-01-02,-230548.16934695095,12442150.834784525
4383,2021-01-03,-237619.36348489486,12406303.565103784
4384,2021-01-04,-246254.20309303515,12382829.377701841
4385,2021-01-05,-255100.01635308377,12375942.466056585
4386,2021-01-06,-263692.6729998905,12360543.503022164
4387,2021-01-07,-272376.6955047883,12318466.142228944
4388,2021-01-08,-281301.29181124456,12278787.560431913
4389,2021-01-09,-289296.95373027585,12254156.086006692
4390,2021-01-10,-296388.58359052613,12247288.036735326
4391,2021-01-11,-303517.6090752743,12226750.578204064
4392,2021-01-12,-308631.2301288247,12221061.282024585
4393,2021-01-13,-313505.7863397002,12216254.819026705
4394,2021-01-14,-320431.8266275171,12198761.743222162
4395,2021-01-15,-328268.40553998016,12176183.894377824
4396,2021-01-16,-335219.6451803278,12166650.001378205
4397,2021-01-17,-341644.4117142968,12161113.624132363
4398,2021-01-18,-347913.79658231325,12151774.511281205
4399,2021-01-19,-354290.28430747055,12144779.992113536
4400,2021-01-20,-360636.2582174428,12141589.614764653
4401,2021-01-21,-364779.70772074535,12134684.272616703
4402,2021-01-22,-367328.81759447046,12127230.887596073
4403,2021-01-23,-369286.9030677676,12133310.406101756
4404,2021-01-24,-371221.22888265736,12139529.724203434
4405,2021-01-25,-373500.3624707926,12152009.940139264
4406,2021-01-26,-375073.5638513509,12162441.982006622
4407,2021-01-27,-371743.0029002279,12123990.865041664
4408,2021-01-28,-367570.55906786025,12120745.536100004
4409,2021-01-29,-363709.8071667459,12105088.765176613
4410,2021-01-30,-358281.5768201202,12169701.125756364
4411,2021-01-31,-352520.895553682,12154168.329294363
4412,2021-02-01,-344972.92765455693,12153900.503386794
4413,2021-02-02,-336382.52482350916,12159605.910278136
4414,2021-02-03,-326813.7446404081,12165559.391454233
4415,2021-02-04,-317146.9348855261,12155645.047693433
4416,2021-02-05,-307365.1817349326,12142437.761577524
4417,2021-02-06,-296429.2863781899,12140304.673653746
4418,2021-02-07,-284433.4438685365,12134957.555854892
4419,2021-02-08,-272507.44135239534,12120922.079743193
4420,2021-02-09,-261106.22757608257,12106503.202328434
4421,2021-02-10,-249396.65983518772,12100660.935348146
4422,2021-02-11,-238756.60851997323,12095535.710626183
4423,2021-02-12,-228147.09082559124,12092001.373749413
4424,2021-02-13,-215885.89262957685,12103138.892537264
4425,2021-02-14,-202453.21315574087,12114859.633971542
4426,2021-02-15,-189367.38306896947,12116033.619139874
4427,2021-02-16,-176685.87409452908,12112556.941091582
4428,2021-02-17,-164083.29512270167,12104999.752830314
4429,2021-02-18,-151993.51723915897,12088653.077399531
4430,2021-02-19,-140334.95844964497,12071661.067034973
4431,2021-02-20,-129905.82633334771,12055563.836464955
4432,2021-02-21,-120156.2979539521,12054044.373880655
4433,2021-02-22,-111133.66362571158,12049206.877814464
4434,2021-02-23,-102771.09990496375,12023792.196609184
4435,2021-02-24,-95323.79999136366,11998870.064340424
