time,perpetual,future,high.x,low.x,close.x,volume.x,volCcy,date.x,X.y,open.y,high.y,low.y,close.y,volume.y,currency_volume,price,date.y,basis,value
2020-09-14 15:00:00,10680,10630.3,10699,10630.3,10696.4,1491.2373504,15918913.561756,2020-09-14 15:00:00,4998,10838.9,10918.6,10838.9,10907.8,17252,172.52,10888.433333333332,2020-09-14 15:00:00,-0.4653558052434525,-0.4653558052434525
2020-09-14 16:00:00,10679,10696.5,10748.4,10655.1,10724.7,4299.69037826,45920992.52383904,2020-09-14 16:00:00,4997,10909.1,10963.2,10863.6,10937.9,25741,257.41,10921.566666666668,2020-09-14 16:00:00,0.16387302181852234,0.16387302181852234
2020-09-14 17:00:00,10678,10724.7,10737.5,10670.5,10682.2,1204.55805161,12871743.23369764,2020-09-14 17:00:00,4996,10936.5,10949.4,10879.4,10895.9,8120,81.2,10908.233333333332,2020-09-14 17:00:00,0.4373478179434419,0.4373478179434419
2020-09-14 18:00:00,10677,10682.1,10695.1,10639.7,10673.1,1588.27436539,16956894.66589578,2020-09-14 18:00:00,4995,10894.1,10907.9,10852.4,10891.2,6275,62.75,10883.833333333334,2020-09-14 18:00:00,0.047766226468112426,0.047766226468112426
2020-09-14 19:00:00,10676,10673.1,10690.4,10653.1,10664.5,1206.45877796,12878058.50617041,2020-09-14 19:00:00,4994,10891.3,10916.9,10877,10891.4,4348,43.48,10895.1,2020-09-14 19:00:00,-0.027163731734728705,-0.027163731734728705
2020-09-14 20:00:00,10675,10664.6,10710.7,10655.7,10682.1,1489.10195921,15912381.40372612,2020-09-14 20:00:00,4993,10891,10942.7,10881.5,10909.7,5643,56.43,10911.300000000001,2020-09-14 20:00:00,-0.0974238875878186,-0.0974238875878186
2020-09-14 21:00:00,10674,10682.2,10720,10671.8,10717.4,2004.47700765,21437908.29958722,2020-09-14 21:00:00,4992,10908.8,10943.7,10892,10936.3,4289,42.89,10924,2020-09-14 21:00:00,0.07682218474799257,0.07682218474799257
2020-09-14 22:00:00,10673,10717.5,10746.9,10636.9,10649.6,1882.54510401,20152285.8568788,2020-09-14 22:00:00,4991,10941.1,10977.6,10863.9,10874,6287,62.87,10905.166666666666,2020-09-14 22:00:00,0.41693994190949124,0.41693994190949124
2020-09-14 23:00:00,10672,10649,10680,10620,10672,1542.64630062,16428359.04068705,2020-09-14 23:00:00,4990,10870.9,10908.9,10846.7,10897.6,7299,72.99,10884.4,2020-09-14 23:00:00,-0.21551724137931033,-0.21551724137931033
2020-09-15 00:00:00,10671,10671.9,10701.3,10650.9,10679.3,1778.63423035,18985875.82375908,2020-09-15 00:00:00,4989,10894.1,10927.7,10872.8,10897.8,6236,62.36,10899.433333333332,2020-09-15 00:00:00,0.008434073657573201,0.008434073657573201
