"","date","perpetual","future","basis","annual_basis"
"164",2021-02-23,48654.1333333333,49766.9,2.28709585482288,26.9287092583984
"165",2021-02-24,49392.4,50329.4666666667,1.89718796144077,23.0824535308628
"166",2021-02-25,47411.9666666667,48132.0333333333,1.51874456448759,19.1152333116541
"167",2021-02-26,46043.5333333333,46641.1666666667,1.29797452555769,16.9200250653056
"168",2021-02-27,45978.4333333333,46411.3,0.941455885476746,12.7270888221856
"169",2021-02-28,45295.8,45746.6666666667,0.995382942053499,13.9736451480587
"170",2021-03-01,49488.9666666667,50022.8333333333,1.07875896917091,15.7498809498953
"171",2021-03-02,48215.9,48730.4666666667,1.06721365082198,16.2305409395842
"172",2021-03-03,50589.4666666667,51173.6333333333,1.1547199548786,18.3249036317691
"173",2021-03-04,48376.8,48690.9666666667,0.649415973496963,10.7744013784723
"174",2021-03-05,48832.2333333333,49192.3,0.737354493309389,12.8159233360918
"175",2021-03-06,48936.9333333333,49311.9666666667,0.766360512986797,13.986079362009
"176",2021-03-07,50976.1333333333,51571.1,1.1671475017067,22.4215177959444
"177",2021-03-08,52121.8,52745.4,1.19642836586609,24.2609085300624
"178",2021-03-09,54748.4666666667,55365.5666666667,1.1271548548696,24.2006777663179
"179",2021-03-10,56206.8333333333,56799.5666666667,1.05455742332635,24.0570912196324
"180",2021-03-11,57847.8666666667,58536.6333333333,1.19065180162219,28.9725271728067
"181",2021-03-12,57292,57850.4,0.974656147455145,25.4106781300806
"182",2021-03-13,61251.1666666667,62315.9,1.73830702544442,48.8063126374779
"183",2021-03-14,59568.2333333333,60379.4333333333,1.36179966167648,41.421406375993
"184",2021-03-15,55938.9333333333,56208.4,0.481715775774549,15.9842052870646
"185",2021-03-16,56633.2,56869.4333333333,0.417128704246515,15.2251977049978
"186",2021-03-17,58712.2,58983.7333333333,0.462481960024208,18.756212823204
"187",2021-03-18,57677.8333333333,57855.6666666667,0.308321798957997,14.0671820774586
"188",2021-03-19,58174.7333333333,58412.1666666667,0.408138241000378,21.2814939950197
"189",2021-03-20,58213.3666666667,58405.9666666667,0.330851849031234,20.1268208160667
"190",2021-03-21,57428.5666666667,57561.8,0.2319983608622,16.9358803429406
"191",2021-03-22,54333.6333333333,54403.1,0.127852054804606,11.6665000009203
"192",2021-03-23,54486.7666666667,54554.1666666667,0.123699760737013,15.0501375563366
"193",2021-03-24,52516.1666666667,52534.9666666667,0.0357985001444055,6.53322627635401
